 TIME || TYPE  || TITLE || STATUS  ||   LINKS(Shared Posts/Shared Links etc) || POST_ID 

Miércoles, 20 de mayo de 2020 a las 17:04 || life event || Carlos Maslatón ||  || https://www.facebook.com/photo.php?fbid=10222935492519882&set=a.1399040700119&type=3&eid=ARC3Ur0IJnNyNYo3hdIXrDOncFj_IErIRcSj9zHrqwoDJF_YH0N8OZl7uRUqpD5q2c9yKGoKFl-jBTwX || 10222935514520432
Miércoles, 20 de mayo de 2020 a las 14:09 || others || Carlos Maslatón está en Buenos Aires con Juan Carlos Pallarols. ||  ||  || 10222933994482432
Miércoles, 20 de mayo de 2020 a las 10:26 || life event || Carlos Maslatón ||  || https://www.facebook.com/photo.php?fbid=10222932041993621&set=a.1399040700119&type=3&eid=ARBDJXBkyNrshqrwDgn5S-uZZtavWPVhdLziGuOUHdBW8HvSaBvw-6xoGgEGa8BB9LBbWmbSv3EdUt-A || 10222932045033697
Martes, 19 de mayo de 2020 a las 19:31 || life event || Carlos Maslatón ||  || https://www.facebook.com/photo.php?fbid=10222926958026525&set=a.1399040700119&type=3&eid=ARAab-TZRBV02PeOPCHGy5-loddubdhTEYa12hr0j0u7Q0xHJUZ5hf7UpqWZzt_6jY2x4x4OL4i1h9mh || 10222926890544838
Martes, 19 de mayo de 2020 a las 17:50 || life event || Carlos Maslatón ||  || https://www.facebook.com/photo.php?fbid=10222925844918698&set=a.1327238865118&type=3&eid=ARBT0tDWXdJdJibrg_B9IqGtVaq8qNOVEYycb9sjxhUUJVpkW3bGigS3pczZEdgWAlv1X4M64WyJJCGu || 10222925888959799
Martes, 19 de mayo de 2020 a las 17:39 || others || Carlos Maslatón está aquí: Edificio Kavanagh. ||  ||  || 10222925750356334
Martes, 19 de mayo de 2020 a las 17:34 || life event || Carlos Maslatón ||  || https://www.facebook.com/photo.php?fbid=10222925676394485&set=a.1327238865118&type=3&eid=ARBf4Mf6erBv_4islPK6aqanTfiHkCYUVVu3wrMGYsYER8o5U4ONsh0H7zF9eXxBj_BZjJocw8ckFtGH || 10222925679994575
Martes, 19 de mayo de 2020 a las 15:44 || life event || Carlos Maslatón ||  || https://www.facebook.com/photo.php?fbid=10222924483284658&set=a.1399040700119&type=3&eid=ARBE3Dqs9-exbi0HPCzpxzBCFxtgoOe8i4K8ZmmI-HawnlCiVfDB8-9-ERf1qkyxlo5SdYU8bqViiy1Y || 10222924497525014
Martes, 19 de mayo de 2020 a las 15:28 || others || Carlos Maslatón está aquí: Edificio Kavanagh. ||  ||  || 10222924336040977
